País,Ciudad1,Lat1,Long1,Ciudad2,Lat2,Long2,Ciudad3,Lat3,Long3,Ciudad4,Lat4,Long4,Ciudad5,Lat5,Long5,Ciudad6,Lat6,Long6,Ciudad7,Lat7,Long7,Ciudad8,Lat8,Long8,Ciudad9,Lat9,Long9,Ciudad10,Lat10,Long10
Afghanistan,Kabul,34.5553,69.2075,Kandahar,31.6289,65.7372,Herat,34.3529,62.2041,Mazar-e Sharif,36.7090,67.1109,Charikar,35.0136,69.1714,Jalalabad,34.4342,70.4478,Sheberghan,36.6575,65.7529,Ghazni,33.5539,68.4207,Kunduz,36.7280,68.8725,Taloqan,36.7361,69.5345
Albania,Tirana,41.3275,19.8187,Durrës,41.3231,19.4414,Vlora,40.4661,19.4914,Shkodër,42.0683,19.5126,Sarandë,39.8773,20.0037,Berat,40.7058,19.9526,Gjirokastër,40.0743,20.1375,Korçë,40.6182,20.7802,Fier,40.7251,19.5665,Elbasan,41.1125,20.0821
Algeria,Algiers,36.7372,3.0863,Oran,35.6971,-0.6308,Constantine,36.3650,6.6147,Annaba,36.9000,7.7667,Blida,36.4804,2.8289,Batna,35.5569,6.1741,Setif,36.1911,5.4137,Tlemcen,34.8783,-1.3150,Béjaïa,36.7500,5.0667,Mostaganem,35.9333,0.0903
Andorra,Andorra la Vella,42.5078,1.5211,Escaldes-Engordany,42.5073,1.5341,Encamp,42.5347,1.5801,Sant Julià de Lòria,42.4637,1.4913,La Massana,42.5447,1.5148,Ordino,42.5558,1.5331,Canillo,42.5676,1.5957,Pas de la Casa,42.5428,1.7330,Arinsal,42.5772,1.4846,El Tarter,42.5795,1.6502
Angola,Luanda,-8.8383,13.2344,Lubango,-14.9172,13.4927,Benguela,-12.5783,13.4072,Kuito,-12.3833,16.9333,Malanje,-9.5403,16.3410,Lobito,-12.3547,13.5360,Namibe,-15.1961,12.1517,Soyo,-6.1349,12.3696,Uíge,-7.6070,15.0613,M'banza Kongo,-6.2697,14.2401
Antigua and Barbuda,Saint John's,17.1274,-61.8468,All Saints,17.0655,-61.7930,Liberta,17.0511,-61.8123,Parham,17.1127,-61.7705,Codrington,17.6333,-61.8333,Bolans,17.0641,-61.8803,Carlisle,17.1435,-61.7958,Willikies,17.0978,-61.7292,Barnes Hill,17.1102,-61.8119,Potters Village,17.1034,-61.8192
Argentina,Buenos Aires,-34.6037,-58.3816,Córdoba,-31.4201,-64.1888,Rosario,-32.9468,-60.6393,Mendoza,-32.8895,-68.8458,Bariloche,-41.1335,-71.3103,Ushuaia,-54.8019,-68.3029,Salta,-24.7821,-65.4232,San Miguel de Tucumán,-26.8083,-65.2176,La Plata,-34.9214,-57.9545,Mar del Plata,-38.0055,-57.5426
Armenia,Yerevan,40.1792,44.4991,Gyumri,40.7890,43.8476,Vanadzor,40.8110,44.4883,Hrazdan,40.4975,44.7540,Echmiadzin,40.1656,44.2934,Hrazdan,40.4975,44.7540,Abovyan,40.2730,44.6250,Artashat,39.9533,44.5483,Sevan,40.5549,44.9496,Charentsavan,40.3833,44.6333
Australia,Sídney,-33.8688,151.2093,Melbourne,-37.8136,144.9631,Brisbane,-27.4698,153.0251,Perth,-31.9505,115.8605,Adelaida,-34.9285,138.6007,Gold Coast,-28.0167,153.4000,Cairns,-16.9186,145.7781,Canberra,-35.2809,149.1300,Hobart,-42.8821,147.3272,Darwin,-12.4634,130.8456
Austria,Viena,48.2082,16.3738,Salzburgo,47.8095,13.0550,Innsbruck,47.2692,11.4041,Graz,47.0707,15.4395,Hallstatt,47.5613,13.6481,Linz,48.3069,14.2858,Salzkammergut,47.7033,13.6306,St Anton am Arlberg,47.1307,10.2637,Wachau,48.3879,15.4332,Seefeld in Tirol,47.3298,11.1847
